fish.id,year,site,lat,long,fish.spc,length_mm,length,para.spc,par.type,lifecycle,nhosts,count,sfish_density,temp_na_rm,ord1raw,ord2raw,ord1,ord2
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,nem_unkn_all_sole,nematode,complex,2,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,trem_sp1_pv,trematode,complex,3,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,trem_sp3_pv,trematode,complex,3,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,capillaria_parophrysi_all,nematode,complex,2,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,contracaecum_sp_all,nematode,complex,3,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,spirurid_sp1_pv,nematode,complex,2,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,cucullanus_annulatus_all,nematode,complex,2,1,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,clavinema_mariae_all,nematode,complex,2,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,cyst_os_pv,trematode,complex,3,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,cope_chalimis_pv,copepod,direct,1,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,acanth_corn_pv,acanthocephalan,complex,2,2,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,oceanobdella_pallida_all,leech,direct,1,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
UW 1133_01,1930,48.54748 -122.9941,48.54748,-122.9941,sole,126,-0.931712597,metacercaria_sp_pv,trematode,complex,3,0,NA,8.876666667,0.361701801,-0.766735397,0.597554804,-0.773948693
